project_id,title,repo_url,tech_stack_tags,sector_tag,dept,faculty_guide_id,submission_date
PRJ_101,Edge-AI Pothole & Traffic Congestion Monitor for Namma Bengaluru,https://github.com/campus-lens/edge-pothole-detector,"Edge AI, Computer Vision, PyTorch, YOLOv8, TensorRT",CivicTech,CSE,FAC_201,2023-02-15
PRJ_102,Decentralized Solar Rooftop Energy Arbitrage Protocol for Hostels,https://github.com/campus-lens/hostel-solar-arbitrage,"CleanTech, Smart Grid, Microgrid, Solidity, Web3.py",CleanTech,EEE,FAC_203,2023-03-20
PRJ_103,Non-Invasive Continuous Glucose Screening using Optical Bio-Sensors,https://github.com/campus-lens/optical-glucose-screen,"HealthTech, Wearables, Edge Computing, Signal Processing, C++",HealthTech,ECE,FAC_211,2023-04-10
PRJ_104,Autonomous Drone-Based Arecanut Crop Disease Detection for Malnad Belt,https://github.com/campus-lens/arecanut-drone-ai,"AgriTech, Computer Vision, Drone Vision, Edge AI, OpenCV",AgriTech,AI&DS,FAC_209,2023-05-18
PRJ_105,Real-Time Sub-Millisecond UPI Fraud Scoring Engine using Graph Neural Nets,https://github.com/campus-lens/upi-graph-fraud-detector,"FinTech, Fraud Detection, Graph Neural Networks, PyTorch Geometric, FastAPI",FinTech,ISE,FAC_205,2023-06-25
PRJ_106,Smart Cold-Chain Thermal Integrity Tracker for Silk-Cocoon Transporters,https://github.com/campus-lens/cocoon-cold-chain-iot,"LogisticsTech, IoT Sensors, Cold Chain, BLE, Rust",LogisticsTech,MECH,FAC_209,2023-08-10
PRJ_107,Self-Calibrating LiDAR Odometry for Autonomous Campus Shuttles,https://github.com/campus-lens/lidar-shuttle-odometry,"Robotics, LiDAR, ROS2, SLAM, C++",CivicTech,ECE,FAC_204,2023-01-20
PRJ_108,Low-Power Neuromorphic Event Camera for Nighttime Drone Navigation,https://github.com/campus-lens/neuromorphic-drone-cam,"DeepTech, Neuromorphic Vision, Spike Neural Networks, Edge AI",DeepTech,AI&DS,FAC_202,2023-02-28
PRJ_109,Zero-Knowledge Biometric Authentication for Public Distribution System,https://github.com/campus-lens/zk-pds-auth,"Cybersecurity, Zero-Knowledge Proofs, Cryptography, Rust, Go",Cybersecurity,CSE,FAC_210,2023-04-05
PRJ_110,Kannada-English Code-Mixed Speech Recognition for Rural Cooperative Banks,https://github.com/campus-lens/indic-speech-banking,"NLP, Speech Recognition, Indic NLP, Whisper, FastPay, FinTech",FinTech,AI&DS,FAC_207,2025-11-12
