student_id,self_reported_skills,course_grades_summary,past_hackathon_history
STU_601,"Backend Architecture, Go, FastAPI, PostgreSQL, Docker, Redis, Distributed Systems","Data Structures: S, Operating Systems: S, DBMS: S, Cloud Computing: A, Computer Networks: S","Smart India Hackathon 2024 (Team Garuda), HackBangalore 2024 (Team Garuda)"
STU_602,"High-Throughput Backend, Rust, PostgreSQL, Apache Kafka, Microservices, Docker","Data Structures: S, Operating Systems: S, DBMS: A, Distributed Systems: S, Algorithms: S",KITS Buildathon 2025 (Team Kaveri)
STU_603,"Backend API Development, Python, FastAPI, PostgreSQL, MongoDB, Redis, AWS Lambda","Data Structures: A, DBMS: S, Cloud Architecture: S, Operating Systems: A, Web Eng: S","Koramangala TechSprint 2024 (Team Alpha), RV Buildathon 2025 (Team Alpha)"
STU_604,"Distributed Systems, Go, gRPC, PostgreSQL, Kubernetes, TimescaleDB","Operating Systems: S, DBMS: S, Computer Networks: S, Data Structures: S, Cloud: A",None - First time participant
STU_605,"Backend Scalability, Java Spring Boot, PostgreSQL, Docker, RabbitMQ, Redis","Data Structures: A, DBMS: S, OOP: S, Software Engineering: S, OS: A",Nandi Hack 2024 (Team Shunya)
STU_606,"Backend Systems, Node.js, Express, PostgreSQL, Redis, Docker, Microservices","Data Structures: S, DBMS: A, Computer Networks: A, OS: S, Cloud: A",HackBangalore 2024 (Team Beta)
STU_607,"Backend Engineering, Go, FastAPI, SQLite, Docker, Celery, REST APIs","Data Structures: A, DBMS: A, Operating Systems: A, Web Technologies: S",None - First time participant
STU_608,"High Performance Backend, C++, Go, PostgreSQL, Memory Optimization, Linux Internals","Operating Systems: S, System Programming: S, Data Structures: S, DBMS: A",KITS Buildathon 2025 (Team Sigma)
STU_609,"Cloud Backend, Python, Django REST, PostgreSQL, Docker, Elasticsearch","DBMS: S, Data Structures: A, Cloud Computing: S, Software Testing: A",Smart India Hackathon 2024 (Team Delta)
STU_610,"API Architecture, FastAPI, Go, GraphQL, PostgreSQL, Redis","Data Structures: S, DBMS: S, Operating Systems: A, Algorithms: S",None - First time participant
STU_611,"Rapid Prototyping, Figma, React, Next.js, TailwindCSS, TypeScript, UI/UX Design","Web Architecture: S, Human Computer Interaction: S, User Interface Design: S, Frontend Eng: S","KITS Buildathon 2025 (Team Kaveri), HackBangalore 2024 (Team Kaveri)"
