paper_id,faculty_id,keywords,citation_count,publish_date,co_authors
PUB_301,FAC_201,"Federated Learning, Differential Privacy, Healthcare EHR, Edge AI",48,2022-06-18,"Dr. Aarav Sharma, Dr. Ananya Hegde, Karthik Raman"
PUB_302,FAC_201,"Privacy-Preserving Aggregation, Federated Learning, Edge AI, IoT",34,2023-01-22,"Dr. Aarav Sharma, Dr. Rajeshwari Kulkarni, Sneha Rao"
PUB_303,FAC_201,Differential Privacy in Asynchronous Mobile Edge Computing,21,2023-09-14,"Dr. Aarav Sharma, P. Vinay"
PUB_304,FAC_203,"Solid-State Electrolytes, Battery Management, Thermal Runaway, Microgrids",89,2022-04-10,"Dr. Meera Nambiar, Dr. Sandhya Murthy, R. Venkatesh"
PUB_305,FAC_203,Decentralized Microgrid Energy Arbitrage and Solid-State Batteries,52,2022-11-05,"Dr. Meera Nambiar, Kiran Joshi"
PUB_306,FAC_203,Smart Grid State Estimation with Distributed Renewable Inverters,29,2023-08-19,"Dr. Meera Nambiar, Dr. Sandhya Murthy"
PUB_307,FAC_206,"Neuromorphic Vision, Spike Neural Networks, Ultra-low-power Edge AI",67,2022-08-30,"Dr. Rajeshwari Kulkarni, Tanvi Pai, Dr. Aarav Sharma"
PUB_308,FAC_206,Event-Driven Asynchronous Spike Neural Networks for Low-Latency Tracking,41,2023-03-12,"Dr. Rajeshwari Kulkarni, Vivek Shenoy"
PUB_309,FAC_206,Neuromorphic Vision Sensors for Urban Edge AI Processing,38,2023-10-25,"Dr. Rajeshwari Kulkarni, Gautham Bhat"
PUB_310,FAC_209,"IoT Sensors, Cold Chain, BLE Telematics, AgriRobotics",45,2022-10-14,"Dr. Chetan Gowda, Dr. Harish Rao, Manoj Kumar"
PUB_311,FAC_209,Autonomous AgriRobotics and Thermal Integrity Tracking in Logistics,31,2023-05-18,"Dr. Chetan Gowda, R. Swaminathan"
PUB_312,FAC_207,"Indic NLP, Code-Mixed Speech, Transformer Models, Kannada Speech",56,2022-12-08,"Dr. Vikram Deshmukh, Pooja Nayak"
PUB_313,FAC_207,Multimodal Indic NLP for Rural Voice Interfaces,27,2023-07-20,"Dr. Vikram Deshmukh, Dr. Ananya Hegde"
PUB_314,FAC_202,"Computer Vision, Edge AI, Object Detection, YOLO Optimization",112,2022-03-14,"Dr. Priya Venkatesh, Siddharth M"
PUB_315,FAC_202,"Neuromorphic Vision, Event Cameras, Real-time Optical Flow",78,2023-02-11,"Dr. Priya Venkatesh, Dr. Rajeshwari Kulkarni"
PUB_316,FAC_204,"Robotics, LiDAR Odometry, ROS2, Autonomous Ground Vehicles",94,2022-05-20,"Dr. Suresh Krishnamurthy, Alok Verma"
PUB_317,FAC_204,Multi-Sensor Fusion with LiDAR and Sonar for Unmanned Systems,63,2023-04-15,"Dr. Suresh Krishnamurthy, Dr. Harish Rao"
PUB_318,FAC_210,"Zero-Knowledge Proofs, Zero Trust, Network Security, Cryptography",83,2022-09-02,"Dr. Divya Balasubramanian, Shreya K"
PUB_319,FAC_210,Kubernetes Micro-Segmentation with eBPF and Zero Trust Policy,49,2023-06-30,"Dr. Divya Balasubramanian, Dr. Aarav Sharma"
PUB_320,FAC_205,"DeFi Settlement, Graph Neural Networks, Fraud Detection, Blockchain",61,2022-11-28,"Dr. Ananya Hegde, Pranav Murthy"
PUB_321,FAC_205,Automated Market Makers and Liquidity Pools on Layer-2 Rollups,35,2023-08-04,"Dr. Ananya Hegde, Dr. Divya Balasubramanian"
PUB_322,FAC_208,"Edge Computing, Automotive CAN-Bus Telematics, Low-Power Sensors",42,2023-01-19,"Dr. Harish Rao, Dr. Suresh Krishnamurthy"
PUB_323,FAC_211,"BioInformatics, Wearables, Edge Computing, Non-Invasive Diagnostics",55,2022-07-16,"Dr. Naveen Prasad, Dr. Aarav Sharma"
PUB_324,FAC_211,Deep Learning on Photoplethysmography (PPG) for Arrhythmia Detection,39,2023-05-25,"Dr. Naveen Prasad, Megha S"
PUB_325,FAC_212,"Renewable Micro-Inverters, Maximum Power Point Tracking, CleanTech",28,2023-11-12,"Dr. Sandhya Murthy, Dr. Meera Nambiar"
